Journal,Link,Since
Advances in Aging Research,https://www.scirp.org/journal/aar,2025-06-20 17:37:18
Advances in Agriculture,https://www.hindawi.com/journals/aag/,2025-06-20 17:37:18
Advances in Alzheimer's Disease,https://www.scirp.org/journal/aad,2025-06-20 17:37:18
Advances in Anthropology,https://www.scirp.org/journal/aa,2025-06-20 17:37:18
Advances in Applied Sociology,https://www.scirp.org/journal/aasoci,2025-06-20 17:37:18
Advances in Astronomy,https://www.hindawi.com/journals/aa/,2025-06-20 17:37:18
Advances in Biological Chemistry,https://www.scirp.org/journal/abc,2025-06-20 17:37:18
Advances in Biomedicine and Pharmacy (ABP),http://www.thescientificpub.com/,2025-06-20 17:37:18
Advances in Bioscience and Biotechnology,https://www.scirp.org/journal/abb,2025-06-20 17:37:18
Advances in Breast Cancer Research,https://www.scirp.org/journal/abcr,2025-06-20 17:37:18
Advances in Cell and Gene Therapy,https://www.hindawi.com/journals/acgt/,2025-06-20 17:37:18
Advances in Chemical Engineering and Science,https://www.scirp.org/journal/aces,2025-06-20 17:37:18
Advances in Civil Engineering,https://www.hindawi.com/journals/ace/,2025-06-20 17:37:18
Advances in Computed Tomography,https://www.scirp.org/journal/act,2025-06-20 17:37:18
Advances in Condensed Matter Physics,https://www.hindawi.com/journals/acmp/,2025-06-20 17:37:18
Advances in Entomology,https://www.scirp.org/journal/ae,2025-06-20 17:37:18
Advances in Enzyme Research,https://www.scirp.org/journal/aer,2025-06-20 17:37:18
Advances in Fixed Point Theory (published by SCIK Publishing Corporation),http://scik.org/index.php/afpt,2025-06-20 17:37:18
Advances in Forestry Letter,http://www.afl-journal.org/index.aspx,2025-06-20 17:37:18
Advances in Fuzzy Systems,https://www.hindawi.com/journals/afs/,2025-06-20 17:37:18
Advances in Hematology,https://www.hindawi.com/journals/ah/,2025-06-20 17:37:18
Advances in High Energy Physics,https://www.hindawi.com/journals/ahep/,2025-06-20 17:37:18
Advances in Historical Studies,https://www.scirp.org/journal/ahs,2025-06-20 17:37:18
Advances in Human-Computer Interaction,https://www.hindawi.com/journals/ahci/,2025-06-20 17:37:18
Advances in Infectious Diseases,https://www.scirp.org/journal/aid,2025-06-20 17:37:18
Advances in Internet of Things,https://www.scirp.org/journal/ait,2025-06-20 17:37:18
Advances in Journalism and Communication,https://www.scirp.org/journal/ajc,2025-06-20 17:37:18
Advances in Linear Algebra & Matrix Theory,https://www.scirp.org/journal/alamt,2025-06-20 17:37:18
Advances in Literary Study,https://www.scirp.org/journal/als,2025-06-20 17:37:18
Advances in Lung Cancer,https://www.scirp.org/journal/alc,2025-06-20 17:37:18
Advances in Materials Physics and Chemistry,https://www.scirp.org/journal/ampc,2025-06-20 17:37:18
Advances in Materials Science and Engineering,https://www.hindawi.com/journals/amse/,2025-06-20 17:37:18
Advances in Mathematical Physics,https://www.hindawi.com/journals/amp/,2025-06-20 17:37:18
"Advances in Medical, Dental and Health Sciences (AMDHS)",https://www.amdhs.org/,2025-06-20 17:37:18
Advances in Medicine,https://www.hindawi.com/journals/amed/,2025-06-20 17:37:18
Advances in Meteorology,https://www.hindawi.com/journals/amete/,2025-06-20 17:37:18
Advances in Microbiology,https://www.scirp.org/journal/aim,2025-06-20 17:37:18
Advances in Molecular Imaging,https://www.scirp.org/journal/ami,2025-06-20 17:37:18
Advances in Multimedia,https://www.hindawi.com/journals/am/,2025-06-20 17:37:18
Advances in Nanoparticles,https://www.scirp.org/journal/anp,2025-06-20 17:37:18
Advances in Operations Research,https://www.hindawi.com/journals/aor/,2025-06-20 17:37:18
Advances in Orthopedics,https://www.hindawi.com/journals/aorth/,2025-06-20 17:37:18
Advances in Parkinson's Disease,https://www.scirp.org/journal/apd,2025-06-20 17:37:18
Advances in Pharmacological and Pharmaceutical Sciences,https://www.hindawi.com/journals/aps/,2025-06-20 17:37:18
Advances in Physical Education,https://www.scirp.org/journal/ape,2025-06-20 17:37:18
Advances in Polymer Technology,https://www.hindawi.com/journals/apt/,2025-06-20 17:37:18
Advances in Preventive Medicine,https://www.hindawi.com/journals/apm/,2025-06-20 17:37:18
Advances in Public Health,https://www.hindawi.com/journals/aph/,2025-06-20 17:37:18
Advances in Pure Mathematics,https://www.scirp.org/journal/apm,2025-06-20 17:37:18
Advances in Remote Sensing,https://www.scirp.org/journal/ars,2025-06-20 17:37:18
Advances in Reproductive Sciences,https://www.scirp.org/journal/arsci,2025-06-20 17:37:18
Advances in Respiratory Medicine,https://www.mdpi.com/journal/arm,2025-06-20 17:37:18
"Advances in Science, Technology and Engineering Systems Journal (ASTESJ, ASTES Journal)",http://www.astesj.com/,2025-06-20 17:37:18
Advances in Sexual Medicine,https://www.scirp.org/journal/asm,2025-06-20 17:37:18
Advances in Tribology,https://www.hindawi.com/journals/at/,2025-06-20 17:37:18
Advances in Urology,https://www.hindawi.com/journals/au/,2025-06-20 17:37:18
Advances in Virology,https://www.hindawi.com/journals/av/,2025-06-20 17:37:18
Aegaeum (hijacker of a legitimate journal),http://aegaeum.com/,2025-06-20 17:37:18
Aerospace,https://www.mdpi.com/journal/aerospace,2025-06-20 17:37:18
Aerospace Research Communications,https://www.frontiersin.org/journals/aerospace-research-communications,2025-06-20 17:37:18
Afrasian Journal of Humanities and Social Sciences (AAJHSS),http://www.aajhss.org/index.php/aajhss,2025-06-20 17:37:18
"African Journal of Traditional, Complementary and Alternative Medicines (AJTCAM)",http://journals.sfu.ca/africanem/index.php/ajtcam/index,2025-06-20 17:37:18
Aging,http://www.impactaging.com/index.html,2025-06-20 17:37:18
Agrariae Liber,https://www.sapientiae.com.br/index.php/agrariaeliber,2025-06-20 17:37:18
Agricultural Sciences,https://www.scirp.org/journal/as,2025-06-20 17:37:18
Agriculturae,https://www.cognitionis.inf.br/index.php/agriculturae,2025-06-20 17:37:18
Agriculture,https://www.mdpi.com/journal/agriculture,2025-06-20 17:37:18
AgriEngineering,https://www.mdpi.com/journal/agriengineering,2025-06-20 17:37:18
Agrochemicals,https://www.mdpi.com/journal/agrochemicals,2025-06-20 17:37:18
Agrociencia (hijacker of the legitimate journal Agrociencia),http://www.colopos.mx/,2025-06-20 17:37:18
Agronomy,https://www.mdpi.com/journal/agronomy,2025-06-20 17:37:18
AGU International Journal of Engineering & Technology (AGUIJET),http://aguijet.com/,2025-06-20 17:37:18
AGU International Journal of Professional Studies & Research (AGUIJPSR),http://aguijpsr.com/,2025-06-20 17:37:18
AGU International Journal of Research in Social Science & Humanities (AGUIJRSSH),http://aguijrssh.com/,2025-06-20 17:37:18
Ahead International Journal of Recent Research Review (AIJRRR),http://www.aijrrr.com/,2025-06-20 17:37:18
AI,https://www.mdpi.com/journal/ai,2025-06-20 17:37:18
AIDS Research and Treatment,https://www.hindawi.com/journals/art/,2025-06-20 17:37:18
Air,https://www.mdpi.com/journal/air,2025-06-20 17:37:18
Al Ameen Journal of Medical Sciences (AJMS),http://ajms.alameenmedical.org/,2025-06-20 17:37:18
Algorithms,https://www.mdpi.com/journal/algorithms,2025-06-20 17:37:18
Allergies,https://www.mdpi.com/journal/allergies,2025-06-20 17:37:18
Alloys,https://www.mdpi.com/journal/alloys,2025-06-20 17:37:18
Aloy Journal of Soft Computing and Applications (AJSCA),http://ajsca.org/,2025-06-20 17:37:18
American Based Research Journal (ABRJ),http://www.abrj.org/,2025-06-20 17:37:18
American International Journal of Contemporary Research (AIJCR),http://aijcrnet.com/,2025-06-20 17:37:18
American International Journal of Contemporary Scientific Research,http://www.americanij.com/,2025-06-20 17:37:18
American International Journal of Social Science (AIJSS),http://www.aijssnet.com/,2025-06-20 17:37:18
American Journal of Advanced Agricultural Research (AJAAR),http://www.esterdjipress.org/index.php/AJAAR,2025-06-20 17:37:18
American Journal of Advanced Drug Delivery,http://ojadd.com/index.php/AJADD,2025-06-20 17:37:18
American Journal of Advanced Scientific Research (AJASR),http://www.esterdjipress.org/index.php/AJAAR,2025-06-20 17:37:18
American Journal of Advances in Medical Science (ARNACA),http://www.arnaca.com/,2025-06-20 17:37:18
American Journal of Analytical Chemistry,https://www.scirp.org/journal/ajac,2025-06-20 17:37:18
American Journal of Biomedical Science & Research,https://biomedgrid.com/,2025-06-20 17:37:18
American Journal of Biotechnology and Medical Research,http://my.ejmanager.com/ajbmr/,2025-06-20 17:37:18
American Journal of Climate Change,https://www.scirp.org/journal/ajcc,2025-06-20 17:37:18
American Journal of Computational Mathematics,https://www.scirp.org/journal/ajcm,2025-06-20 17:37:18
American Journal of Engineering Research,http://www.ajer.org/,2025-06-20 17:37:18
American Journal of Essential Oils and Natural Products (Essential Oil International Journal),http://essencejournal.com/index.html,2025-06-20 17:37:18
American Journal of Humanities and Social Sciences Research (AJHSSR),https://www.ajhssr.com/,2025-06-20 17:37:18
American Journal of Industrial and Business Management,https://www.scirp.org/journal/ajibm,2025-06-20 17:37:18
American Journal of Innovative Research and Applied Sciences (AJIRAS),http://american-jiras.com/,2025-06-20 17:37:18
American Journal of Molecular Biology,https://www.scirp.org/Journal/ajmb,2025-06-20 17:37:18
American Journal of Multidisciplinary Research and Development (AJMRD),https://www.ajmrd.com/,2025-06-20 17:37:18
American Journal of Operations Research,https://www.scirp.org/journal/ajor,2025-06-20 17:37:18
American Journal of Pharmacy and Health Research (AJPHR),http://www.ajphr.com/,2025-06-20 17:37:18
American Journal of PharmTech Research (AJPTR),http://www.ajptr.com/,2025-06-20 17:37:18
"American Journal of Physiology, Biochemistry and Pharmacology (AJPBP)",https://www.ajpbp.com/,2025-06-20 17:37:18
American Journal of Phytomedicine and Clinical Therapeutics,http://www.ajpct.org/,2025-06-20 17:37:18
American Journal of Plant Sciences,https://www.scirp.org/journal/ajps,2025-06-20 17:37:18
American Journal of Research Communication (AJRC),http://www.usa-journals.com/,2025-06-20 17:37:18
American Journal of Scientific Research,http://www.americanjournalofscientificresearch.com/,2025-06-20 17:37:18
American Journal of Social issues and Humanities,http://www.ajsih.org/index.php/ajsih,2025-06-20 17:37:18
American Research Thoughts,http://researchthoughts.us/Default.aspx,2025-06-20 17:37:18
"American Scientific Research Journal for Engineering, Technology, and Sciences (ASRJETS)",http://asrjetsjournal.org/,2025-06-20 17:37:18
American Transactions on Engineering & Applied Sciences,http://tuengr.com/ATEAS/index.html,2025-06-20 17:37:18
Amphibian & Reptile Conservation,http://amphibian-reptile-conservation.org/,2025-06-20 17:37:18
"An International Journal of Advanced Computer Technology (COMPUSOFT, IJACT)",http://ijact.in/,2025-06-20 17:37:18
Analytica,https://www.mdpi.com/journal/analytica,2025-06-20 17:37:18
Analytical Cellular Pathology,https://www.hindawi.com/journals/acp/,2025-06-20 17:37:18
Analytics,https://www.mdpi.com/journal/analytics,2025-06-20 17:37:18
Anatomia,https://www.mdpi.com/journal/anatomia,2025-06-20 17:37:18
Andrologia,https://www.hindawi.com/journals/and/,2025-06-20 17:37:18
Anemia,https://www.hindawi.com/journals/anemia/,2025-06-20 17:37:18
Anesthesiology Research and Practice,https://www.hindawi.com/journals/arp/,2025-06-20 17:37:18
"Anglisticum: International Journal of Literature, Linguistics & Interdisciplinary Studies",http://www.anglisticum.mk/index.php,2025-06-20 17:37:18
Animals,https://www.mdpi.com/journal/animals,2025-06-20 17:37:18
Annals of British Medical Sciences (ABMS),http://abmsj.co.uk/index.htm,2025-06-20 17:37:18
Annals of Clinical and Medical Case Reports (also here),https://acmcasereport.com/,2025-06-20 17:37:18
Annals of Clinical Case Reports,http://anncaserep.com/,2025-06-20 17:37:18
Annals of Dental Specialty,https://annalsofdentalspecialty.net.in/en,2025-06-20 17:37:18
Annals of International Medical and Dental Research (AIMDR),http://aimdrjournal.com/,2025-06-20 17:37:18
Annals of Medical and Biomedical Sciences (AMBS),http://ambs-journal.co.uk/,2025-06-20 17:37:18
Annals of Phytomedicine,http://ukaazpublications.com/publications/index.php,2025-06-20 17:37:18
Antibiotics,https://www.mdpi.com/journal/antibiotics,2025-06-20 17:37:18
Antibodies,https://www.mdpi.com/journal/antibodies,2025-06-20 17:37:18
Antioxidants,https://www.mdpi.com/journal/antioxidants,2025-06-20 17:37:18
Applied and Environmental Soil Science,https://www.hindawi.com/journals/aess/,2025-06-20 17:37:18
Applied Bionics and Biomechanics,https://www.hindawi.com/journals/abb/,2025-06-20 17:37:18
Applied Biosciences,https://www.mdpi.com/journal/applbiosci,2025-06-20 17:37:18
Applied Computational Intelligence and Soft Computing,https://www.hindawi.com/journals/acisc/,2025-06-20 17:37:18
Applied Mathematics,https://www.scirp.org/journal/am,2025-06-20 17:37:18
Applied Mechanics,https://www.mdpi.com/journal/applmech,2025-06-20 17:37:18
Applied Microbiology,https://www.mdpi.com/journal/applmicrobiol,2025-06-20 17:37:18
Applied Nano,https://www.mdpi.com/journal/applnano,2025-06-20 17:37:18
Applied Research Journal,http://arjournal.org/,2025-06-20 17:37:18
Applied Sciences,https://www.mdpi.com/journal/applsci,2025-06-20 17:37:18
Applied System Innovation,https://www.mdpi.com/journal/asi,2025-06-20 17:37:18
AppliedChem,https://www.mdpi.com/journal/appliedchem,2025-06-20 17:37:18
AppliedMath,https://www.mdpi.com/journal/appliedmath,2025-06-20 17:37:18
Aquaculture Journal,https://www.mdpi.com/journal/aquacj,2025-06-20 17:37:18
Aquaculture Nutrition,https://www.hindawi.com/journals/anu/,2025-06-20 17:37:18
Aquaculture Research,https://www.hindawi.com/journals/are/,2025-06-20 17:37:18
Arabian Journal of Medical Sciences (AJMS),http://www.ajms.tk/,2025-06-20 17:37:18
ARACÊ (ARE),https://periodicos.newsciencepubl.com/arace,2025-06-20 17:37:18
Archaea,https://www.hindawi.com/journals/archaea/,2025-06-20 17:37:18
Archaeological Discovery,https://www.scirp.org/journal/ad,2025-06-20 17:37:18
Architecture,https://www.mdpi.com/journal/architecture,2025-06-20 17:37:18
Archives Des Sciences Journal,http://www.sciencesarchive.com/,2025-06-20 17:37:18
Archives of Applied Medicine (related to KEI Journals),https://aoamj.org/,2025-06-20 17:37:18
Archives of Clinical and Experimental Surgery,http://www.acesjournal.org/,2025-06-20 17:37:18
ARCTIC Journal (hijacker of a legitimate journal),http://arcticjournal.org/index.html,2025-06-20 17:37:18
ARNACA American Journal of Advances in Medical Science,http://arnaca.com/,2025-06-20 17:37:18
ARPN Journal of Science and Technology,http://ejournalofscience.org/,2025-06-20 17:37:18
ARPN Journal of Systems and Software,http://www.scientific-journals.org/,2025-06-20 17:37:18
Art and Design Review,https://www.scirp.org/journal/adr,2025-06-20 17:37:18
Arthropoda,https://www.mdpi.com/journal/arthropoda,2025-06-20 17:37:18
Arts,https://www.mdpi.com/journal/arts,2025-06-20 17:37:18
"Asia Pacific Journal of Education, Arts and Sciences (APJEAS)",http://apjeas.apjmr.com/,2025-06-20 17:37:18
Asia Pacific Journal of Multidisciplinary Research,http://www.apjmr.com/,2025-06-20 17:37:18
Asian Journal of Advanced Research and Reports (AJARR) (associated with ScienceDomain International),https://www.journalajarr.com/index.php/AJARR/index,2025-06-20 17:37:18
Asian Journal of Applied Science and Engineering,http://ajase.weebly.com/,2025-06-20 17:37:18
Asian Journal of Applied Science and Technology,http://www.ajast.net/,2025-06-20 17:37:18
Asian Journal of Biomedical and Pharmaceutical Sciences,http://www.jbiopharm.com/index.php/ajbp,2025-06-20 17:37:18
Asian Journal of Business and Management Sciences (AJBMS),http://www.ajbms.org/index.php,2025-06-20 17:37:18
Asian Journal of Chemistry,http://www.asianjournalofchemistry.co.in/Home.aspx,2025-06-20 17:37:18
Asian Journal of Emerging Research,http://amscentral.com/ajer/,2025-06-20 17:37:18
Asian Journal of Health and Medical Sciences,http://www.ajhms.org/,2025-06-20 17:37:18
Asian Journal of Humanities and Social Sciences,http://ajhss.org/,2025-06-20 17:37:18
Asian Journal of Mathematics and Applications,http://scienceasia.asia/index.php/ama,2025-06-20 17:37:18
Asian Journal of Multidisciplinary Studies,http://www.ajms.co.in/sites/ajms/index.php/ajms,2025-06-20 17:37:18
Asian Journal of Pharmaceutical and Health Sciences,http://ajphs.com/,2025-06-20 17:37:18
Asian Journal of Pharmaceutical Research and Health Care (AJPRHC),http://jprhc.in/index.php,2025-06-20 17:37:18
Asian Journal of Pharmacy and Life Science,http://www.ajpls.com/index.html,2025-06-20 17:37:18
Asian Journal of Science and Technology (Science and Technology Asian Journal),http://www.journalajst.com/,2025-06-20 17:37:18
Asian Pacific Journal of Health Sciences (APJHS),http://www.apjhs.com/index.html,2025-06-20 17:37:18
Asian Pacific Journal of Natural Products (APJNP),http://ainstin.com/asian-pacific-journal-of-natural-products,2025-06-20 17:37:18
Asian Pacific Journal of Pharmacy and Phytochemistry (APJPP),http://apjpp.com/,2025-06-20 17:37:18
Asian Pacific Journal of Tropical Disease,http://www.apjtcm.com/,2025-06-20 17:37:18
Asian Research Journal of Business Management (ARJBM),http://www.arjbm.com/index.php,2025-06-20 17:37:18
Asia-Pacific Journal of Research,http://apjor.com/index.php,2025-06-20 17:37:18
Astronomical Review,http://journals.ke-i.org/index.php/AstRv,2025-06-20 17:37:18
Astronomy,https://www.mdpi.com/journal/astronomy,2025-06-20 17:37:18
Atmosphere,https://www.mdpi.com/journal/atmosphere,2025-06-20 17:37:18
Atmospheric and Climate Sciences,https://www.scirp.org/journal/acs,2025-06-20 17:37:18
Atoms,https://www.mdpi.com/journal/atoms,2025-06-20 17:37:18
Audiology Research,https://www.mdpi.com/journal/audiolres,2025-06-20 17:37:18
Aurora’s International Journal of Computing​,http://www.aurora-journal.com/,2025-06-20 17:37:18
Australasian Journal of Herpetology,http://www.smuggled.com/AJHFP1.htm,2025-06-20 17:37:18
Australasian Medical Journal (AMJ),http://www.amj.net.au/index.php?journal=AMJ,2025-06-20 17:37:18
Australian Journal of Basic and Applied Sciences,http://www.ajbasweb.com/,2025-06-20 17:37:18
Australian Journal of Business and Management Research (AJBMR),http://www.ajbmr.com/index.php,2025-06-20 17:37:18
Australian Journal of Grape and Wine Research,https://www.hindawi.com/journals/ajgwr/,2025-06-20 17:37:18
Autism Research and Treatment,https://www.hindawi.com/journals/aurt/,2025-06-20 17:37:18
Autoimmune Diseases,https://www.hindawi.com/journals/ad/,2025-06-20 17:37:18
Automation,https://www.mdpi.com/journal/automation,2025-06-20 17:37:18
Averroes European Medical Journal (Averroes-EMJ),http://www.averroes-emj.com/,2025-06-20 17:37:18
Axioms,https://www.mdpi.com/journal/axioms,2025-06-20 17:37:18
Ayupharm: International Journal of Ayurveda and Allied Sciences,http://www.ayurpharm.com/,2025-06-20 17:37:18
Ayushdhar,http://ayushdhara.in/index.php/ayushdhara,2025-06-20 17:37:18
Bacteria,https://www.mdpi.com/journal/bacteria,2025-06-20 17:37:18
Batteries,https://www.mdpi.com/journal/batteries,2025-06-20 17:37:18
Batteries and Electrochemistry,https://www.frontiersin.org/journals/batteries-and-electrochemistry,2025-06-20 17:37:18
Behavioral Sciences,https://www.mdpi.com/journal/behavsci,2025-06-20 17:37:18
Behavioural Neurology,https://www.hindawi.com/journals/bn/,2025-06-20 17:37:18
Beijing Law Review,https://www.scirp.org/Journal/blr,2025-06-20 17:37:18
Beverages,https://www.mdpi.com/journal/beverages,2025-06-20 17:37:18
Big Data and Cognitive Computing,https://www.mdpi.com/journal/BDCC,2025-06-20 17:37:18
Bio Bulletin,http://www.biobulletin.com/,2025-06-20 17:37:18
BioChem,https://www.mdpi.com/journal/biochem,2025-06-20 17:37:18
Biochemistry Research International,https://www.hindawi.com/journals/bri/,2025-06-20 17:37:18
Bioengineering,https://www.mdpi.com/journal/bioengineering,2025-06-20 17:37:18
Bioinformation,http://bioinformation.net/,2025-06-20 17:37:18
Bioinorganic Chemistry and Applications,https://www.hindawi.com/journals/bca/,2025-06-20 17:37:18
Biointerface Research in Applied Chemistry,http://biointerfaceresearch.com/,2025-06-20 17:37:18
Biologics,https://www.mdpi.com/journal/biologics,2025-06-20 17:37:18
Biology,https://www.mdpi.com/journal/biology,2025-06-20 17:37:18
Biology and Life Sciences Forum *,https://www.mdpi.com/journal/blsf,2025-06-20 17:37:18
Biomass,https://www.mdpi.com/journal/biomass,2025-06-20 17:37:18
Biomaterials and Tissue Engineering Bulletin,http://btebulletin.com/,2025-06-20 17:37:18
Biomechanics,https://www.mdpi.com/journal/biomechanics,2025-06-20 17:37:18
BioMed,https://www.mdpi.com/journal/biomed,2025-06-20 17:37:18
BioMed Research International,https://www.hindawi.com/journals/bmri/,2025-06-20 17:37:18
Biomedical & Pharmacology Journal,http://www.biomedpharmajournal.org/,2025-06-20 17:37:18
Biomedical Engineering Review,http://journals.ke-i.org/index.php/bme,2025-06-20 17:37:18
Biomedical Journal of Scientific & Technical Research (BJSTR) (and here),https://biomedres.us/,2025-06-20 17:37:18
Biomedicines,https://www.mdpi.com/journal/biomedicines,2025-06-20 17:37:18
BioMedInformatics,https://www.mdpi.com/journal/biomedinformatics,2025-06-20 17:37:18
Biomimetics,https://www.mdpi.com/journal/biomimetics,2025-06-20 17:37:18
Biomolecules,https://www.mdpi.com/journal/biomolecules,2025-06-20 17:37:18
Bionano Frontier,http://bionanofrontier.org/,2025-06-20 17:37:18
Biopharm Journal,http://www.biopharmj.com/,2025-06-20 17:37:18
Biophysica,https://www.mdpi.com/journal/biophysica,2025-06-20 17:37:18
Bioresearch Bulletin,http://bioresonline.org/,2025-06-20 17:37:18
Bioscience and Bioengineering Communications (BBC),http://www.bioscibioeng.com/,2025-06-20 17:37:18
Bioscience Biotechnology Research Communications (BBRC),http://www.bbrc.in/,2025-06-20 17:37:18
Bioscience Discovery,http://biosciencediscovery.com/index.html,2025-06-20 17:37:18
Biosciences International,http://biosciencesjournal.info/index.php/biointl/,2025-06-20 17:37:18
"Biosciences, Biotechnology Research Asia (BBRA)",http://www.biotech-asia.org/,2025-06-20 17:37:18
Biosensors,https://www.mdpi.com/journal/biosensors,2025-06-20 17:37:18
BioTech,https://www.mdpi.com/journal/biotech,2025-06-20 17:37:18
Biotechnological Research,http://www.biotechnologicalresearch-journal.com/,2025-06-20 17:37:18
Birds,https://www.mdpi.com/journal/birds,2025-06-20 17:37:18
Blockchains,https://www.mdpi.com/journal/blockchains,2025-06-20 17:37:18
BOREAL ENVIRONMENT RESEARCH (hijacker of a legitimate journal),http://borenv.com/,2025-06-20 17:37:18
Botany Journal,http://plantsjournal.com/,2025-06-20 17:37:18
Brain Sciences,https://www.mdpi.com/journal/brainsci,2025-06-20 17:37:18
Bratislava Medical Journal,https://www.elis.sk/,2025-06-20 17:37:18
Brazilian Applied Science Review,https://ojs.brazilianjournals.com.br/ojs/index.php/BASR,2025-06-20 17:37:18
Brazilian Journal of Animal and Environmental Research,https://ojs.brazilianjournals.com.br/ojs/index.php/BJAER,2025-06-20 17:37:18
Brazilian Journal of Business,https://ojs.brazilianjournals.com.br/ojs/index.php/BJB,2025-06-20 17:37:18
Brazilian Journal of Development,https://ojs.brazilianjournals.com.br/ojs/index.php/BRJD,2025-06-20 17:37:18
Brazilian Journal of Health Review,https://ojs.brazilianjournals.com.br/ojs/index.php/BJHR,2025-06-20 17:37:18
Brazilian Journal of Technology,https://ojs.brazilianjournals.com.br/ojs/index.php/BJT,2025-06-20 17:37:18
British Biomedical Bulletin,http://bbbulletin.org/,2025-06-20 17:37:18
British Journal of Biomedical Research (BJBMR),http://bjbmr.org/,2025-06-20 17:37:18
"British Journal of Economics, Finance and Management Sciences",http://www.ajournal.co.uk/BJEFM.htm,2025-06-20 17:37:18
British Journal of Interdisciplinary Studies,http://www.bjis-online.org/index.php/bjis,2025-06-20 17:37:18
British Journal of Medical & Health Sciences (BJMHS),http://jmhsci.org/,2025-06-20 17:37:18
British Journal of Medical and Health Research (BJMHR),http://www.bjmhr.com/index.php,2025-06-20 17:37:18
British Journal of Pharmaceutical and Medical Research​ (BJPMR),https://www.bjpmr.org/,2025-06-20 17:37:18
British Journal of Science,http://www.ajournal.co.uk/index.htm,2025-06-20 17:37:18
Buildings,https://www.mdpi.com/journal/buildings,2025-06-20 17:37:18
Buletin Teknologi Makanan,http://www.btmjournal.com/index.html,2025-06-20 17:37:18
Bulletin of Applied and Research Science (BARS),http://www.barsjournal.net/,2025-06-20 17:37:18
"Bulletin of Environment, Pharmacology and Life Sciences (BEPLS)",http://bepls.com/index.html,2025-06-20 17:37:18
Bulletin of Mathematical Sciences & Applications,http://www.bmsa.us/index.php,2025-06-20 17:37:18
Bulletin of Pharmaceutical Research,http://journal.appconnect.in/,2025-06-20 17:37:18
Bulletin of Society for Mathematical Services and Standards,http://www.jsomass.com/index.php,2025-06-20 17:37:18
Business and Economics Journal,http://www.irbejournal.com/,2025-06-20 17:37:18
Business Journal,https://www.cognitionis.inf.br/index.php/businessjournal,2025-06-20 17:37:18
Businesses,https://www.mdpi.com/journal/businesses,2025-06-20 17:37:18
C,https://www.mdpi.com/journal/carbon,2025-06-20 17:37:18
Caderno Pedagógico / Revista Caderno Pedagógico (CADPED),https://ojs.studiespublicacoes.com.br/ojs/index.php/cadped,2025-06-20 17:37:18
Calodema,http://www.calodema.com/,2025-06-20 17:37:18
Canadian Chemical Transactions,http://canchemtrans.ca/,2025-06-20 17:37:18
Canadian International Journal of Science and Technology,http://www.tcsse.org/,2025-06-20 17:37:18
Canadian Journal of Basic and Applied Sciences,http://www.cjbas.com/,2025-06-20 17:37:18
Canadian Journal of Biomedical Research and Technology (CJBRT),https://biomedress.com/,2025-06-20 17:37:18
Canadian Journal of Biotechnology,http://www.canadianjbiotech.com/index.php,2025-06-20 17:37:18
Canadian Journal of Gastroenterology and Hepatology,https://www.hindawi.com/journals/cjgh/,2025-06-20 17:37:18
Canadian Journal of Infectious Diseases and Medical Microbiology,https://www.hindawi.com/journals/cjidmm/,2025-06-20 17:37:18
Canadian Journal of Pure and Applied Sciences,http://www.cjpas.net/,2025-06-20 17:37:18
Canadian Respiratory Journal,https://www.hindawi.com/journals/crj/,2025-06-20 17:37:18
